"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Sun May 24 11:49:41 UTC 2026","passed","Sun May 24 11:49:41 UTC 2026","Get entity","Users","",""
"","331","Delete file","LMS service","Sun May 24 11:49:39 UTC 2026","passed","Sun May 24 11:49:39 UTC 2026","Delete entity","Files","",""
"","624","Login with correct email and password","LMS service","Sun May 24 11:49:30 UTC 2026","passed","Sun May 24 11:49:31 UTC 2026","Login","Authentication","",""
"","323","Get exercises","LMS service","Sun May 24 11:49:36 UTC 2026","passed","Sun May 24 11:49:36 UTC 2026","Get entities","Exercises","",""
"","28","Get courses","LMS service","Sun May 24 11:49:32 UTC 2026","passed","Sun May 24 11:49:32 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Sun May 24 11:49:37 UTC 2026","passed","Sun May 24 11:49:37 UTC 2026","Get entity","Files","",""
"","18","Create file","LMS service","Sun May 24 11:49:36 UTC 2026","passed","Sun May 24 11:49:36 UTC 2026","Create entity","Files","",""
"","338","Update course","LMS service","Sun May 24 11:49:31 UTC 2026","passed","Sun May 24 11:49:31 UTC 2026","Update entity","Courses","",""
"","621","Create user","LMS service","Sun May 24 11:49:39 UTC 2026","passed","Sun May 24 11:49:40 UTC 2026","Create entity","Users","",""
"","20","Update exercise","LMS service","Sun May 24 11:49:34 UTC 2026","passed","Sun May 24 11:49:34 UTC 2026","Update entity","Exercises","",""
"","630","Create user","LMS service","Sun May 24 11:49:40 UTC 2026","passed","Sun May 24 11:49:40 UTC 2026","Create entity","Users","",""
"","328","Create exercise","LMS service","Sun May 24 11:49:33 UTC 2026","passed","Sun May 24 11:49:33 UTC 2026","Create entity","Exercises","",""
"","17","Create file with empty filename","LMS service","Sun May 24 11:49:37 UTC 2026","passed","Sun May 24 11:49:37 UTC 2026","Validate entity","Files","",""
"","323","Get exercise","LMS service","Sun May 24 11:49:34 UTC 2026","passed","Sun May 24 11:49:35 UTC 2026","Get entity","Exercises","",""
"","19","Delete exercise","LMS service","Sun May 24 11:49:35 UTC 2026","passed","Sun May 24 11:49:35 UTC 2026","Delete entity","Exercises","",""
"","297","Get file with incorrect file id","LMS service","Sun May 24 11:49:39 UTC 2026","passed","Sun May 24 11:49:40 UTC 2026","Validate entity","Files","",""
"","298","Create file with empty directory","LMS service","Sun May 24 11:49:38 UTC 2026","passed","Sun May 24 11:49:39 UTC 2026","Validate entity","Files","",""
"","630","Create user","LMS service","Sun May 24 11:49:40 UTC 2026","passed","Sun May 24 11:49:40 UTC 2026","Create entity","Users","",""
"","31","Create course","LMS service","Sun May 24 11:49:32 UTC 2026","passed","Sun May 24 11:49:32 UTC 2026","Create entity","Courses","",""
