"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Create file","LMS service","Sun May 24 13:19:29 UTC 2026","passed","Sun May 24 13:19:29 UTC 2026","Create entity","Files","",""
"","22","Delete file","LMS service","Sun May 24 13:19:32 UTC 2026","passed","Sun May 24 13:19:32 UTC 2026","Delete entity","Files","",""
"","625","Create user","LMS service","Sun May 24 13:19:33 UTC 2026","passed","Sun May 24 13:19:33 UTC 2026","Create entity","Users","",""
"","23","Get courses","LMS service","Sun May 24 13:19:25 UTC 2026","passed","Sun May 24 13:19:25 UTC 2026","Get entities","Courses","",""
"","615","Create user","LMS service","Sun May 24 13:19:32 UTC 2026","passed","Sun May 24 13:19:33 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun May 24 13:19:34 UTC 2026","passed","Sun May 24 13:19:34 UTC 2026","Get entity","Users","",""
"","292","Get file with incorrect file id","LMS service","Sun May 24 13:19:32 UTC 2026","passed","Sun May 24 13:19:33 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Sun May 24 13:19:26 UTC 2026","passed","Sun May 24 13:19:26 UTC 2026","Create entity","Exercises","",""
"","624","Login with correct email and password","LMS service","Sun May 24 13:19:23 UTC 2026","passed","Sun May 24 13:19:24 UTC 2026","Login","Authentication","",""
"","318","Get exercises","LMS service","Sun May 24 13:19:28 UTC 2026","passed","Sun May 24 13:19:29 UTC 2026","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Sun May 24 13:19:28 UTC 2026","passed","Sun May 24 13:19:28 UTC 2026","Delete entity","Exercises","",""
"","13","Get file","LMS service","Sun May 24 13:19:30 UTC 2026","passed","Sun May 24 13:19:30 UTC 2026","Get entity","Files","",""
"","302","Create file with empty filename","LMS service","Sun May 24 13:19:30 UTC 2026","passed","Sun May 24 13:19:31 UTC 2026","Validate entity","Files","",""
"","322","Update exercise","LMS service","Sun May 24 13:19:27 UTC 2026","passed","Sun May 24 13:19:27 UTC 2026","Update entity","Exercises","",""
"","302","Create file with empty directory","LMS service","Sun May 24 13:19:31 UTC 2026","passed","Sun May 24 13:19:31 UTC 2026","Validate entity","Files","",""
"","334","Update course","LMS service","Sun May 24 13:19:24 UTC 2026","passed","Sun May 24 13:19:24 UTC 2026","Update entity","Courses","",""
"","16","Get exercise","LMS service","Sun May 24 13:19:27 UTC 2026","passed","Sun May 24 13:19:27 UTC 2026","Get entity","Exercises","",""
"","24","Create course","LMS service","Sun May 24 13:19:25 UTC 2026","passed","Sun May 24 13:19:25 UTC 2026","Create entity","Courses","",""
"","627","Create user","LMS service","Sun May 24 13:19:33 UTC 2026","passed","Sun May 24 13:19:33 UTC 2026","Create entity","Users","",""
