"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get courses","LMS service","Sun May 24 13:09:36 UTC 2026","passed","Sun May 24 13:09:37 UTC 2026","Get entities","Courses","",""
"","26","Create course","LMS service","Sun May 24 13:09:37 UTC 2026","passed","Sun May 24 13:09:37 UTC 2026","Create entity","Courses","",""
"","557","Login with correct email and password","LMS service","Sun May 24 13:09:35 UTC 2026","passed","Sun May 24 13:09:36 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Sun May 24 13:09:45 UTC 2026","passed","Sun May 24 13:09:45 UTC 2026","Get entity","Users","",""
"","17","Get exercises","LMS service","Sun May 24 13:09:40 UTC 2026","passed","Sun May 24 13:09:40 UTC 2026","Get entities","Exercises","",""
"","304","Update course","LMS service","Sun May 24 13:09:36 UTC 2026","passed","Sun May 24 13:09:36 UTC 2026","Update entity","Courses","",""
"","15","Get file","LMS service","Sun May 24 13:09:41 UTC 2026","passed","Sun May 24 13:09:41 UTC 2026","Get entity","Files","",""
"","564","Create user","LMS service","Sun May 24 13:09:44 UTC 2026","passed","Sun May 24 13:09:44 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Sun May 24 13:09:40 UTC 2026","passed","Sun May 24 13:09:40 UTC 2026","Delete entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Sun May 24 13:09:42 UTC 2026","passed","Sun May 24 13:09:42 UTC 2026","Validate entity","Files","",""
"","265","Create file","LMS service","Sun May 24 13:09:40 UTC 2026","passed","Sun May 24 13:09:41 UTC 2026","Create entity","Files","",""
"","538","Create user","LMS service","Sun May 24 13:09:43 UTC 2026","passed","Sun May 24 13:09:44 UTC 2026","Create entity","Users","",""
"","286","Update exercise","LMS service","Sun May 24 13:09:38 UTC 2026","passed","Sun May 24 13:09:39 UTC 2026","Update entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Sun May 24 13:09:43 UTC 2026","passed","Sun May 24 13:09:44 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Sun May 24 13:09:43 UTC 2026","passed","Sun May 24 13:09:43 UTC 2026","Delete entity","Files","",""
"","28","Create exercise","LMS service","Sun May 24 13:09:38 UTC 2026","passed","Sun May 24 13:09:38 UTC 2026","Create entity","Exercises","",""
"","19","Get exercise","LMS service","Sun May 24 13:09:39 UTC 2026","passed","Sun May 24 13:09:39 UTC 2026","Get entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Sun May 24 13:09:42 UTC 2026","passed","Sun May 24 13:09:42 UTC 2026","Validate entity","Files","",""
"","560","Create user","LMS service","Sun May 24 13:09:44 UTC 2026","passed","Sun May 24 13:09:44 UTC 2026","Create entity","Users","",""
