"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Sun May 24 13:44:05 UTC 2026","passed","Sun May 24 13:44:05 UTC 2026","Get entity","Files","",""
"","319","Get exercise","LMS service","Sun May 24 13:44:02 UTC 2026","passed","Sun May 24 13:44:03 UTC 2026","Get entity","Exercises","",""
"","23","Create course","LMS service","Sun May 24 13:44:00 UTC 2026","passed","Sun May 24 13:44:00 UTC 2026","Create entity","Courses","",""
"","11","Get user me","LMS service","Sun May 24 13:44:09 UTC 2026","passed","Sun May 24 13:44:09 UTC 2026","Get entity","Users","",""
"","339","Update course","LMS service","Sun May 24 13:43:58 UTC 2026","passed","Sun May 24 13:43:59 UTC 2026","Update entity","Courses","",""
"","15","Create file","LMS service","Sun May 24 13:44:04 UTC 2026","passed","Sun May 24 13:44:04 UTC 2026","Create entity","Files","",""
"","20","Create exercise","LMS service","Sun May 24 13:44:01 UTC 2026","passed","Sun May 24 13:44:01 UTC 2026","Create entity","Exercises","",""
"","628","Create user","LMS service","Sun May 24 13:44:07 UTC 2026","passed","Sun May 24 13:44:08 UTC 2026","Create entity","Users","",""
"","289","Get file with incorrect file id","LMS service","Sun May 24 13:44:07 UTC 2026","passed","Sun May 24 13:44:08 UTC 2026","Validate entity","Files","",""
"","300","Create file with empty directory","LMS service","Sun May 24 13:44:06 UTC 2026","passed","Sun May 24 13:44:07 UTC 2026","Validate entity","Files","",""
"","322","Create user","LMS service","Sun May 24 13:44:08 UTC 2026","passed","Sun May 24 13:44:08 UTC 2026","Create entity","Users","",""
"","628","Create user","LMS service","Sun May 24 13:44:08 UTC 2026","passed","Sun May 24 13:44:08 UTC 2026","Create entity","Users","",""
"","326","Delete file","LMS service","Sun May 24 13:44:07 UTC 2026","passed","Sun May 24 13:44:07 UTC 2026","Delete entity","Files","",""
"","19","Update exercise","LMS service","Sun May 24 13:44:02 UTC 2026","passed","Sun May 24 13:44:02 UTC 2026","Update entity","Exercises","",""
"","19","Delete exercise","LMS service","Sun May 24 13:44:03 UTC 2026","passed","Sun May 24 13:44:03 UTC 2026","Delete entity","Exercises","",""
"","14","Create file with empty filename","LMS service","Sun May 24 13:44:05 UTC 2026","passed","Sun May 24 13:44:05 UTC 2026","Validate entity","Files","",""
"","24","Get courses","LMS service","Sun May 24 13:43:59 UTC 2026","passed","Sun May 24 13:43:59 UTC 2026","Get entities","Courses","",""
"","622","Login with correct email and password","LMS service","Sun May 24 13:43:58 UTC 2026","passed","Sun May 24 13:43:58 UTC 2026","Login","Authentication","",""
"","319","Get exercises","LMS service","Sun May 24 13:44:04 UTC 2026","passed","Sun May 24 13:44:04 UTC 2026","Get entities","Exercises","",""
