"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Create file","LMS service","Wed May 20 15:24:50 UTC 2026","passed","Wed May 20 15:24:50 UTC 2026","Create entity","Files","",""
"","303","Create file with empty directory","LMS service","Wed May 20 15:24:52 UTC 2026","passed","Wed May 20 15:24:52 UTC 2026","Validate entity","Files","",""
"","19","Delete file","LMS service","Wed May 20 15:24:53 UTC 2026","passed","Wed May 20 15:24:53 UTC 2026","Delete entity","Files","",""
"","629","Create user","LMS service","Wed May 20 15:24:53 UTC 2026","passed","Wed May 20 15:24:54 UTC 2026","Create entity","Users","",""
"","24","Get courses","LMS service","Wed May 20 15:24:46 UTC 2026","passed","Wed May 20 15:24:46 UTC 2026","Get entities","Courses","",""
"","337","Update course","LMS service","Wed May 20 15:24:45 UTC 2026","passed","Wed May 20 15:24:45 UTC 2026","Update entity","Courses","",""
"","25","Create course","LMS service","Wed May 20 15:24:46 UTC 2026","passed","Wed May 20 15:24:46 UTC 2026","Create entity","Courses","",""
"","13","Get file","LMS service","Wed May 20 15:24:51 UTC 2026","passed","Wed May 20 15:24:51 UTC 2026","Get entity","Files","",""
"","320","Create user","LMS service","Wed May 20 15:24:53 UTC 2026","passed","Wed May 20 15:24:54 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Wed May 20 15:24:49 UTC 2026","passed","Wed May 20 15:24:49 UTC 2026","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Wed May 20 15:24:55 UTC 2026","passed","Wed May 20 15:24:55 UTC 2026","Get entity","Users","",""
"","614","Create user","LMS service","Wed May 20 15:24:53 UTC 2026","passed","Wed May 20 15:24:53 UTC 2026","Create entity","Users","",""
"","17","Get exercise","LMS service","Wed May 20 15:24:48 UTC 2026","passed","Wed May 20 15:24:48 UTC 2026","Get entity","Exercises","",""
"","288","Get file with incorrect file id","LMS service","Wed May 20 15:24:53 UTC 2026","passed","Wed May 20 15:24:53 UTC 2026","Validate entity","Files","",""
"","623","Login with correct email and password","LMS service","Wed May 20 15:24:44 UTC 2026","passed","Wed May 20 15:24:45 UTC 2026","Login","Authentication","",""
"","301","Create file with empty filename","LMS service","Wed May 20 15:24:51 UTC 2026","passed","Wed May 20 15:24:52 UTC 2026","Validate entity","Files","",""
"","20","Create exercise","LMS service","Wed May 20 15:24:47 UTC 2026","passed","Wed May 20 15:24:47 UTC 2026","Create entity","Exercises","",""
"","323","Get exercises","LMS service","Wed May 20 15:24:49 UTC 2026","passed","Wed May 20 15:24:50 UTC 2026","Get entities","Exercises","",""
"","323","Update exercise","LMS service","Wed May 20 15:24:48 UTC 2026","passed","Wed May 20 15:24:48 UTC 2026","Update entity","Exercises","",""
