"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get exercise","LMS service","Sun May 24 13:03:32 UTC 2026","passed","Sun May 24 13:03:32 UTC 2026","Get entity","Exercises","",""
"","298","Get file with incorrect file id","LMS service","Sun May 24 13:03:37 UTC 2026","passed","Sun May 24 13:03:37 UTC 2026","Validate entity","Files","",""
"","17","Create file","LMS service","Sun May 24 13:03:34 UTC 2026","passed","Sun May 24 13:03:34 UTC 2026","Create entity","Files","",""
"","14","Get user me","LMS service","Sun May 24 13:03:39 UTC 2026","passed","Sun May 24 13:03:39 UTC 2026","Get entity","Users","",""
"","628","Create user","LMS service","Sun May 24 13:03:37 UTC 2026","passed","Sun May 24 13:03:37 UTC 2026","Create entity","Users","",""
"","328","Create exercise","LMS service","Sun May 24 13:03:31 UTC 2026","passed","Sun May 24 13:03:31 UTC 2026","Create entity","Exercises","",""
"","28","Create course","LMS service","Sun May 24 13:03:30 UTC 2026","passed","Sun May 24 13:03:30 UTC 2026","Create entity","Courses","",""
"","26","Get courses","LMS service","Sun May 24 13:03:29 UTC 2026","passed","Sun May 24 13:03:29 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Sun May 24 13:03:31 UTC 2026","passed","Sun May 24 13:03:31 UTC 2026","Update entity","Exercises","",""
"","628","Create user","LMS service","Sun May 24 13:03:37 UTC 2026","passed","Sun May 24 13:03:38 UTC 2026","Create entity","Users","",""
"","15","Create file with empty filename","LMS service","Sun May 24 13:03:35 UTC 2026","passed","Sun May 24 13:03:35 UTC 2026","Validate entity","Files","",""
"","300","Create file with empty directory","LMS service","Sun May 24 13:03:36 UTC 2026","passed","Sun May 24 13:03:36 UTC 2026","Validate entity","Files","",""
"","331","Delete file","LMS service","Sun May 24 13:03:36 UTC 2026","passed","Sun May 24 13:03:37 UTC 2026","Delete entity","Files","",""
"","624","Login with correct email and password","LMS service","Sun May 24 13:03:28 UTC 2026","passed","Sun May 24 13:03:28 UTC 2026","Login","Authentication","",""
"","27","Delete exercise","LMS service","Sun May 24 13:03:33 UTC 2026","passed","Sun May 24 13:03:33 UTC 2026","Delete entity","Exercises","",""
"","18","Get exercises","LMS service","Sun May 24 13:03:34 UTC 2026","passed","Sun May 24 13:03:34 UTC 2026","Get entities","Exercises","",""
"","630","Create user","LMS service","Sun May 24 13:03:37 UTC 2026","passed","Sun May 24 13:03:38 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Sun May 24 13:03:35 UTC 2026","passed","Sun May 24 13:03:35 UTC 2026","Get entity","Files","",""
"","339","Update course","LMS service","Sun May 24 13:03:29 UTC 2026","passed","Sun May 24 13:03:29 UTC 2026","Update entity","Courses","",""
