"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","Create user","LMS service","Sun May 24 13:23:29 UTC 2026","passed","Sun May 24 13:23:30 UTC 2026","Create entity","Users","",""
"","290","Get exercises","LMS service","Sun May 24 13:23:26 UTC 2026","passed","Sun May 24 13:23:26 UTC 2026","Get entities","Exercises","",""
"","16","Get file","LMS service","Sun May 24 13:23:27 UTC 2026","passed","Sun May 24 13:23:27 UTC 2026","Get entity","Files","",""
"","27","Create course","LMS service","Sun May 24 13:23:23 UTC 2026","passed","Sun May 24 13:23:23 UTC 2026","Create entity","Courses","",""
"","29","Get courses","LMS service","Sun May 24 13:23:22 UTC 2026","passed","Sun May 24 13:23:22 UTC 2026","Get entities","Courses","",""
"","22","Delete file","LMS service","Sun May 24 13:23:29 UTC 2026","passed","Sun May 24 13:23:29 UTC 2026","Delete entity","Files","",""
"","20","Get exercise","LMS service","Sun May 24 13:23:25 UTC 2026","passed","Sun May 24 13:23:25 UTC 2026","Get entity","Exercises","",""
"","267","Create file","LMS service","Sun May 24 13:23:26 UTC 2026","passed","Sun May 24 13:23:27 UTC 2026","Create entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Sun May 24 13:23:29 UTC 2026","passed","Sun May 24 13:23:30 UTC 2026","Validate entity","Files","",""
"","22","Create exercise","LMS service","Sun May 24 13:23:24 UTC 2026","passed","Sun May 24 13:23:24 UTC 2026","Create entity","Exercises","",""
"","303","Update course","LMS service","Sun May 24 13:23:21 UTC 2026","passed","Sun May 24 13:23:22 UTC 2026","Update entity","Courses","",""
"","561","Create user","LMS service","Sun May 24 13:23:30 UTC 2026","passed","Sun May 24 13:23:30 UTC 2026","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Sun May 24 13:23:21 UTC 2026","passed","Sun May 24 13:23:21 UTC 2026","Login","Authentication","",""
"","563","Create user","LMS service","Sun May 24 13:23:30 UTC 2026","passed","Sun May 24 13:23:30 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Sun May 24 13:23:31 UTC 2026","passed","Sun May 24 13:23:31 UTC 2026","Get entity","Users","",""
"","19","Delete exercise","LMS service","Sun May 24 13:23:26 UTC 2026","passed","Sun May 24 13:23:26 UTC 2026","Delete entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Sun May 24 13:23:27 UTC 2026","passed","Sun May 24 13:23:28 UTC 2026","Validate entity","Files","",""
"","269","Create file with empty directory","LMS service","Sun May 24 13:23:28 UTC 2026","passed","Sun May 24 13:23:28 UTC 2026","Validate entity","Files","",""
"","292","Update exercise","LMS service","Sun May 24 13:23:24 UTC 2026","passed","Sun May 24 13:23:24 UTC 2026","Update entity","Exercises","",""
