"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","Update exercise","LMS service","Sun May 24 12:52:49 UTC 2026","passed","Sun May 24 12:52:49 UTC 2026","Update entity","Exercises","",""
"","607","Create user","LMS service","Sun May 24 12:52:54 UTC 2026","passed","Sun May 24 12:52:55 UTC 2026","Create entity","Users","",""
"","335","Update course","LMS service","Sun May 24 12:52:46 UTC 2026","passed","Sun May 24 12:52:47 UTC 2026","Update entity","Courses","",""
"","12","Get user me","LMS service","Sun May 24 12:52:56 UTC 2026","passed","Sun May 24 12:52:56 UTC 2026","Get entity","Users","",""
"","295","Get file with incorrect file id","LMS service","Sun May 24 12:52:55 UTC 2026","passed","Sun May 24 12:52:55 UTC 2026","Validate entity","Files","",""
"","301","Create file","LMS service","Sun May 24 12:52:52 UTC 2026","passed","Sun May 24 12:52:52 UTC 2026","Create entity","Files","",""
"","26","Create course","LMS service","Sun May 24 12:52:48 UTC 2026","passed","Sun May 24 12:52:48 UTC 2026","Create entity","Courses","",""
"","15","Get exercises","LMS service","Sun May 24 12:52:51 UTC 2026","passed","Sun May 24 12:52:51 UTC 2026","Get entities","Exercises","",""
"","19","Create exercise","LMS service","Sun May 24 12:52:49 UTC 2026","passed","Sun May 24 12:52:49 UTC 2026","Create entity","Exercises","",""
"","629","Create user","LMS service","Sun May 24 12:52:55 UTC 2026","passed","Sun May 24 12:52:56 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sun May 24 12:52:51 UTC 2026","passed","Sun May 24 12:52:51 UTC 2026","Delete entity","Exercises","",""
"","17","Get exercise","LMS service","Sun May 24 12:52:50 UTC 2026","passed","Sun May 24 12:52:50 UTC 2026","Get entity","Exercises","",""
"","24","Get courses","LMS service","Sun May 24 12:52:47 UTC 2026","passed","Sun May 24 12:52:47 UTC 2026","Get entities","Courses","",""
"","18","Delete file","LMS service","Sun May 24 12:52:54 UTC 2026","passed","Sun May 24 12:52:54 UTC 2026","Delete entity","Files","",""
"","622","Login with correct email and password","LMS service","Sun May 24 12:52:46 UTC 2026","passed","Sun May 24 12:52:46 UTC 2026","Login","Authentication","",""
"","320","Create user","LMS service","Sun May 24 12:52:55 UTC 2026","passed","Sun May 24 12:52:55 UTC 2026","Create entity","Users","",""
"","301","Create file with empty directory","LMS service","Sun May 24 12:52:53 UTC 2026","passed","Sun May 24 12:52:54 UTC 2026","Validate entity","Files","",""
"","304","Create file with empty filename","LMS service","Sun May 24 12:52:53 UTC 2026","passed","Sun May 24 12:52:53 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Sun May 24 12:52:52 UTC 2026","passed","Sun May 24 12:52:52 UTC 2026","Get entity","Files","",""
