"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Sun May 24 12:44:37 UTC 2026","passed","Sun May 24 12:44:37 UTC 2026","Get entity","Files","",""
"","553","Login with correct email and password","LMS service","Sun May 24 12:44:31 UTC 2026","passed","Sun May 24 12:44:31 UTC 2026","Login","Authentication","",""
"","558","Create user","LMS service","Sun May 24 12:44:39 UTC 2026","passed","Sun May 24 12:44:40 UTC 2026","Create entity","Users","",""
"","559","Create user","LMS service","Sun May 24 12:44:39 UTC 2026","passed","Sun May 24 12:44:40 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Sun May 24 12:44:38 UTC 2026","passed","Sun May 24 12:44:38 UTC 2026","Validate entity","Files","",""
"","22","Create exercise","LMS service","Sun May 24 12:44:33 UTC 2026","passed","Sun May 24 12:44:34 UTC 2026","Create entity","Exercises","",""
"","271","Create file with empty filename","LMS service","Sun May 24 12:44:37 UTC 2026","passed","Sun May 24 12:44:38 UTC 2026","Validate entity","Files","",""
"","26","Get courses","LMS service","Sun May 24 12:44:32 UTC 2026","passed","Sun May 24 12:44:32 UTC 2026","Get entities","Courses","",""
"","295","Update exercise","LMS service","Sun May 24 12:44:34 UTC 2026","passed","Sun May 24 12:44:34 UTC 2026","Update entity","Exercises","",""
"","21","Get exercise","LMS service","Sun May 24 12:44:35 UTC 2026","passed","Sun May 24 12:44:35 UTC 2026","Get entity","Exercises","",""
"","265","Create file","LMS service","Sun May 24 12:44:36 UTC 2026","passed","Sun May 24 12:44:37 UTC 2026","Create entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Sun May 24 12:44:39 UTC 2026","passed","Sun May 24 12:44:39 UTC 2026","Validate entity","Files","",""
"","32","Update course","LMS service","Sun May 24 12:44:32 UTC 2026","passed","Sun May 24 12:44:32 UTC 2026","Update entity","Courses","",""
"","26","Create course","LMS service","Sun May 24 12:44:33 UTC 2026","passed","Sun May 24 12:44:33 UTC 2026","Create entity","Courses","",""
"","16","Get exercises","LMS service","Sun May 24 12:44:36 UTC 2026","passed","Sun May 24 12:44:36 UTC 2026","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Sun May 24 12:44:36 UTC 2026","passed","Sun May 24 12:44:36 UTC 2026","Delete entity","Exercises","",""
"","19","Delete file","LMS service","Sun May 24 12:44:39 UTC 2026","passed","Sun May 24 12:44:39 UTC 2026","Delete entity","Files","",""
"","12","Get user me","LMS service","Sun May 24 12:44:41 UTC 2026","passed","Sun May 24 12:44:41 UTC 2026","Get entity","Users","",""
"","546","Create user","LMS service","Sun May 24 12:44:39 UTC 2026","passed","Sun May 24 12:44:39 UTC 2026","Create entity","Users","",""
