"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Get file with incorrect file id","LMS service","Sun May 17 08:12:18 UTC 2026","passed","Sun May 17 08:12:18 UTC 2026","Validate entity","Files","",""
"","268","Create file with empty directory","LMS service","Sun May 17 08:12:17 UTC 2026","passed","Sun May 17 08:12:17 UTC 2026","Validate entity","Files","",""
"","289","Update exercise","LMS service","Sun May 17 08:12:13 UTC 2026","passed","Sun May 17 08:12:13 UTC 2026","Update entity","Exercises","",""
"","547","Create user","LMS service","Sun May 17 08:12:18 UTC 2026","passed","Sun May 17 08:12:18 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun May 17 08:12:19 UTC 2026","passed","Sun May 17 08:12:19 UTC 2026","Get entity","Users","",""
"","31","Create course","LMS service","Sun May 17 08:12:12 UTC 2026","passed","Sun May 17 08:12:12 UTC 2026","Create entity","Courses","",""
"","28","Create exercise","LMS service","Sun May 17 08:12:12 UTC 2026","passed","Sun May 17 08:12:12 UTC 2026","Create entity","Exercises","",""
"","22","Delete file","LMS service","Sun May 17 08:12:18 UTC 2026","passed","Sun May 17 08:12:18 UTC 2026","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Sun May 17 08:12:14 UTC 2026","passed","Sun May 17 08:12:14 UTC 2026","Delete entity","Exercises","",""
"","273","Create file","LMS service","Sun May 17 08:12:15 UTC 2026","passed","Sun May 17 08:12:15 UTC 2026","Create entity","Files","",""
"","564","Create user","LMS service","Sun May 17 08:12:18 UTC 2026","passed","Sun May 17 08:12:19 UTC 2026","Create entity","Users","",""
"","24","Get exercise","LMS service","Sun May 17 08:12:13 UTC 2026","passed","Sun May 17 08:12:13 UTC 2026","Get entity","Exercises","",""
"","290","Create user","LMS service","Sun May 17 08:12:18 UTC 2026","passed","Sun May 17 08:12:18 UTC 2026","Create entity","Users","",""
"","263","Create file with empty filename","LMS service","Sun May 17 08:12:16 UTC 2026","passed","Sun May 17 08:12:16 UTC 2026","Validate entity","Files","",""
"","300","Get courses","LMS service","Sun May 17 08:12:11 UTC 2026","passed","Sun May 17 08:12:11 UTC 2026","Get entities","Courses","",""
"","290","Get exercises","LMS service","Sun May 17 08:12:14 UTC 2026","passed","Sun May 17 08:12:15 UTC 2026","Get entities","Exercises","",""
"","308","Update course","LMS service","Sun May 17 08:12:10 UTC 2026","passed","Sun May 17 08:12:11 UTC 2026","Update entity","Courses","",""
"","287","Login with correct email and password","LMS service","Sun May 17 08:12:10 UTC 2026","passed","Sun May 17 08:12:10 UTC 2026","Login","Authentication","",""
"","16","Get file","LMS service","Sun May 17 08:12:16 UTC 2026","passed","Sun May 17 08:12:16 UTC 2026","Get entity","Files","",""
