"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","Create file","LMS service","Sun May 24 08:15:35 UTC 2026","passed","Sun May 24 08:15:35 UTC 2026","Create entity","Files","",""
"","27","Update course","LMS service","Sun May 24 08:15:31 UTC 2026","passed","Sun May 24 08:15:31 UTC 2026","Update entity","Courses","",""
"","271","Update exercise","LMS service","Sun May 24 08:15:33 UTC 2026","passed","Sun May 24 08:15:33 UTC 2026","Update entity","Exercises","",""
"","20","Create exercise","LMS service","Sun May 24 08:15:33 UTC 2026","passed","Sun May 24 08:15:33 UTC 2026","Create entity","Exercises","",""
"","21","Delete exercise","LMS service","Sun May 24 08:15:35 UTC 2026","passed","Sun May 24 08:15:35 UTC 2026","Delete entity","Exercises","",""
"","530","Create user","LMS service","Sun May 24 08:15:38 UTC 2026","passed","Sun May 24 08:15:39 UTC 2026","Create entity","Users","",""
"","240","Get file with incorrect file id","LMS service","Sun May 24 08:15:38 UTC 2026","passed","Sun May 24 08:15:38 UTC 2026","Validate entity","Files","",""
"","518","Create user","LMS service","Sun May 24 08:15:38 UTC 2026","passed","Sun May 24 08:15:38 UTC 2026","Create entity","Users","",""
"","531","Create user","LMS service","Sun May 24 08:15:38 UTC 2026","passed","Sun May 24 08:15:39 UTC 2026","Create entity","Users","",""
"","238","Create file with empty directory","LMS service","Sun May 24 08:15:37 UTC 2026","passed","Sun May 24 08:15:37 UTC 2026","Validate entity","Files","",""
"","25","Create course","LMS service","Sun May 24 08:15:32 UTC 2026","passed","Sun May 24 08:15:32 UTC 2026","Create entity","Courses","",""
"","17","Get exercise","LMS service","Sun May 24 08:15:34 UTC 2026","passed","Sun May 24 08:15:34 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Sun May 24 08:15:39 UTC 2026","passed","Sun May 24 08:15:39 UTC 2026","Get entity","Users","",""
"","12","Get file","LMS service","Sun May 24 08:15:36 UTC 2026","passed","Sun May 24 08:15:36 UTC 2026","Get entity","Files","",""
"","247","Create file with empty filename","LMS service","Sun May 24 08:15:36 UTC 2026","passed","Sun May 24 08:15:37 UTC 2026","Validate entity","Files","",""
"","526","Login with correct email and password","LMS service","Sun May 24 08:15:30 UTC 2026","passed","Sun May 24 08:15:31 UTC 2026","Login","Authentication","",""
"","18","Delete file","LMS service","Sun May 24 08:15:38 UTC 2026","passed","Sun May 24 08:15:38 UTC 2026","Delete entity","Files","",""
"","276","Get exercises","LMS service","Sun May 24 08:15:35 UTC 2026","passed","Sun May 24 08:15:35 UTC 2026","Get entities","Exercises","",""
"","27","Get courses","LMS service","Sun May 24 08:15:32 UTC 2026","passed","Sun May 24 08:15:32 UTC 2026","Get entities","Courses","",""
