"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file with empty filename","LMS service","Wed May 20 15:36:03 UTC 2026","passed","Wed May 20 15:36:04 UTC 2026","Validate entity","Files","",""
"","274","Get file with incorrect file id","LMS service","Wed May 20 15:36:06 UTC 2026","passed","Wed May 20 15:36:06 UTC 2026","Validate entity","Files","",""
"","542","Create user","LMS service","Wed May 20 15:36:05 UTC 2026","passed","Wed May 20 15:36:06 UTC 2026","Create entity","Users","",""
"","288","Get file","LMS service","Wed May 20 15:36:04 UTC 2026","passed","Wed May 20 15:36:04 UTC 2026","Get entity","Files","",""
"","557","Login with correct email and password","LMS service","Wed May 20 15:35:57 UTC 2026","passed","Wed May 20 15:35:58 UTC 2026","Login","Authentication","",""
"","25","Create course","LMS service","Wed May 20 15:35:59 UTC 2026","passed","Wed May 20 15:35:59 UTC 2026","Create entity","Courses","",""
"","31","Get courses","LMS service","Wed May 20 15:35:59 UTC 2026","passed","Wed May 20 15:35:59 UTC 2026","Get entities","Courses","",""
"","21","Delete exercise","LMS service","Wed May 20 15:36:01 UTC 2026","passed","Wed May 20 15:36:01 UTC 2026","Delete entity","Exercises","",""
"","20","Get exercise","LMS service","Wed May 20 15:36:01 UTC 2026","passed","Wed May 20 15:36:01 UTC 2026","Get entity","Exercises","",""
"","562","Create user","LMS service","Wed May 20 15:36:06 UTC 2026","passed","Wed May 20 15:36:06 UTC 2026","Create entity","Users","",""
"","23","Update exercise","LMS service","Wed May 20 15:36:00 UTC 2026","passed","Wed May 20 15:36:00 UTC 2026","Update entity","Exercises","",""
"","17","Get exercises","LMS service","Wed May 20 15:36:03 UTC 2026","passed","Wed May 20 15:36:03 UTC 2026","Get entities","Exercises","",""
"","304","Update course","LMS service","Wed May 20 15:35:58 UTC 2026","passed","Wed May 20 15:35:58 UTC 2026","Update entity","Courses","",""
"","27","Create exercise","LMS service","Wed May 20 15:36:00 UTC 2026","passed","Wed May 20 15:36:00 UTC 2026","Create entity","Exercises","",""
"","24","Create file","LMS service","Wed May 20 15:36:03 UTC 2026","passed","Wed May 20 15:36:03 UTC 2026","Create entity","Files","",""
"","12","Get user me","LMS service","Wed May 20 15:36:07 UTC 2026","passed","Wed May 20 15:36:07 UTC 2026","Get entity","Users","",""
"","287","Create user","LMS service","Wed May 20 15:36:06 UTC 2026","passed","Wed May 20 15:36:06 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Wed May 20 15:36:05 UTC 2026","passed","Wed May 20 15:36:05 UTC 2026","Delete entity","Files","",""
"","269","Create file with empty directory","LMS service","Wed May 20 15:36:04 UTC 2026","passed","Wed May 20 15:36:05 UTC 2026","Validate entity","Files","",""
