"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","Create file with empty directory","LMS service","Sun May 24 08:12:33 UTC 2026","passed","Sun May 24 08:12:33 UTC 2026","Validate entity","Files","",""
"","24","Delete file","LMS service","Sun May 24 08:12:34 UTC 2026","passed","Sun May 24 08:12:34 UTC 2026","Delete entity","Files","",""
"","249","Get file with incorrect file id","LMS service","Sun May 24 08:12:34 UTC 2026","passed","Sun May 24 08:12:34 UTC 2026","Validate entity","Files","",""
"","537","Create user","LMS service","Sun May 24 08:12:34 UTC 2026","passed","Sun May 24 08:12:35 UTC 2026","Create entity","Users","",""
"","279","Create exercise","LMS service","Sun May 24 08:12:29 UTC 2026","passed","Sun May 24 08:12:29 UTC 2026","Create entity","Exercises","",""
"","534","Login with correct email and password","LMS service","Sun May 24 08:12:26 UTC 2026","passed","Sun May 24 08:12:27 UTC 2026","Login","Authentication","",""
"","15","Get file","LMS service","Sun May 24 08:12:32 UTC 2026","passed","Sun May 24 08:12:32 UTC 2026","Get entity","Files","",""
"","535","Create user","LMS service","Sun May 24 08:12:34 UTC 2026","passed","Sun May 24 08:12:35 UTC 2026","Create entity","Users","",""
"","292","Update course","LMS service","Sun May 24 08:12:27 UTC 2026","passed","Sun May 24 08:12:27 UTC 2026","Update entity","Courses","",""
"","28","Create course","LMS service","Sun May 24 08:12:28 UTC 2026","passed","Sun May 24 08:12:28 UTC 2026","Create entity","Courses","",""
"","275","Get exercises","LMS service","Sun May 24 08:12:31 UTC 2026","passed","Sun May 24 08:12:31 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Sun May 24 08:12:36 UTC 2026","passed","Sun May 24 08:12:36 UTC 2026","Get entity","Users","",""
"","509","Create user","LMS service","Sun May 24 08:12:34 UTC 2026","passed","Sun May 24 08:12:34 UTC 2026","Create entity","Users","",""
"","29","Get courses","LMS service","Sun May 24 08:12:27 UTC 2026","passed","Sun May 24 08:12:28 UTC 2026","Get entities","Courses","",""
"","21","Get exercise","LMS service","Sun May 24 08:12:30 UTC 2026","passed","Sun May 24 08:12:30 UTC 2026","Get entity","Exercises","",""
"","254","Create file with empty filename","LMS service","Sun May 24 08:12:32 UTC 2026","passed","Sun May 24 08:12:33 UTC 2026","Validate entity","Files","",""
"","28","Delete exercise","LMS service","Sun May 24 08:12:31 UTC 2026","passed","Sun May 24 08:12:31 UTC 2026","Delete entity","Exercises","",""
"","259","Create file","LMS service","Sun May 24 08:12:31 UTC 2026","passed","Sun May 24 08:12:32 UTC 2026","Create entity","Files","",""
"","283","Update exercise","LMS service","Sun May 24 08:12:29 UTC 2026","passed","Sun May 24 08:12:30 UTC 2026","Update entity","Exercises","",""
