"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","326","Create exercise","LMS service","Sun May 24 12:57:58 UTC 2026","passed","Sun May 24 12:57:59 UTC 2026","Create entity","Exercises","",""
"","16","Create file with empty filename","LMS service","Sun May 24 12:58:03 UTC 2026","passed","Sun May 24 12:58:03 UTC 2026","Validate entity","Files","",""
"","622","Login with correct email and password","LMS service","Sun May 24 12:57:55 UTC 2026","passed","Sun May 24 12:57:56 UTC 2026","Login","Authentication","",""
"","323","Get exercise","LMS service","Sun May 24 12:58:00 UTC 2026","passed","Sun May 24 12:58:00 UTC 2026","Get entity","Exercises","",""
"","627","Create user","LMS service","Sun May 24 12:58:04 UTC 2026","passed","Sun May 24 12:58:05 UTC 2026","Create entity","Users","",""
"","11","Get file","LMS service","Sun May 24 12:58:03 UTC 2026","passed","Sun May 24 12:58:03 UTC 2026","Get entity","Files","",""
"","15","Create file","LMS service","Sun May 24 12:58:01 UTC 2026","passed","Sun May 24 12:58:01 UTC 2026","Create entity","Files","",""
"","626","Create user","LMS service","Sun May 24 12:58:05 UTC 2026","passed","Sun May 24 12:58:05 UTC 2026","Create entity","Users","",""
"","23","Get courses","LMS service","Sun May 24 12:57:57 UTC 2026","passed","Sun May 24 12:57:57 UTC 2026","Get entities","Courses","",""
"","318","Get exercises","LMS service","Sun May 24 12:58:01 UTC 2026","passed","Sun May 24 12:58:01 UTC 2026","Get entities","Exercises","",""
"","293","Create file with empty directory","LMS service","Sun May 24 12:58:04 UTC 2026","passed","Sun May 24 12:58:04 UTC 2026","Validate entity","Files","",""
"","325","Delete file","LMS service","Sun May 24 12:58:04 UTC 2026","passed","Sun May 24 12:58:04 UTC 2026","Delete entity","Files","",""
"","334","Update course","LMS service","Sun May 24 12:57:56 UTC 2026","passed","Sun May 24 12:57:57 UTC 2026","Update entity","Courses","",""
"","25","Create course","LMS service","Sun May 24 12:57:58 UTC 2026","passed","Sun May 24 12:57:58 UTC 2026","Create entity","Courses","",""
"","294","Get file with incorrect file id","LMS service","Sun May 24 12:58:05 UTC 2026","passed","Sun May 24 12:58:05 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Sun May 24 12:58:06 UTC 2026","passed","Sun May 24 12:58:06 UTC 2026","Get entity","Users","",""
"","19","Update exercise","LMS service","Sun May 24 12:57:59 UTC 2026","passed","Sun May 24 12:57:59 UTC 2026","Update entity","Exercises","",""
"","20","Delete exercise","LMS service","Sun May 24 12:58:00 UTC 2026","passed","Sun May 24 12:58:00 UTC 2026","Delete entity","Exercises","",""
"","627","Create user","LMS service","Sun May 24 12:58:05 UTC 2026","passed","Sun May 24 12:58:05 UTC 2026","Create entity","Users","",""
