"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Update course","LMS service","Sun May 24 13:01:16 UTC 2026","passed","Sun May 24 13:01:16 UTC 2026","Update entity","Courses","",""
"","280","Create user","LMS service","Sun May 24 13:01:23 UTC 2026","passed","Sun May 24 13:01:24 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Sun May 24 13:01:25 UTC 2026","passed","Sun May 24 13:01:25 UTC 2026","Get entity","Users","",""
"","20","Create file","LMS service","Sun May 24 13:01:21 UTC 2026","passed","Sun May 24 13:01:21 UTC 2026","Create entity","Files","",""
"","512","Create user","LMS service","Sun May 24 13:01:23 UTC 2026","passed","Sun May 24 13:01:24 UTC 2026","Create entity","Users","",""
"","14","Get exercise","LMS service","Sun May 24 13:01:20 UTC 2026","passed","Sun May 24 13:01:20 UTC 2026","Get entity","Exercises","",""
"","14","Create exercise","LMS service","Sun May 24 13:01:18 UTC 2026","passed","Sun May 24 13:01:18 UTC 2026","Create entity","Exercises","",""
"","22","Create course","LMS service","Sun May 24 13:01:17 UTC 2026","passed","Sun May 24 13:01:17 UTC 2026","Create entity","Courses","",""
"","235","Create file with empty directory","LMS service","Sun May 24 13:01:22 UTC 2026","passed","Sun May 24 13:01:22 UTC 2026","Validate entity","Files","",""
"","232","Create file with empty filename","LMS service","Sun May 24 13:01:21 UTC 2026","passed","Sun May 24 13:01:22 UTC 2026","Validate entity","Files","",""
"","24","Delete file","LMS service","Sun May 24 13:01:23 UTC 2026","passed","Sun May 24 13:01:23 UTC 2026","Delete entity","Files","",""
"","245","Get file with incorrect file id","LMS service","Sun May 24 13:01:23 UTC 2026","passed","Sun May 24 13:01:23 UTC 2026","Validate entity","Files","",""
"","44","Delete exercise","LMS service","Sun May 24 13:01:20 UTC 2026","passed","Sun May 24 13:01:20 UTC 2026","Delete entity","Exercises","",""
"","250","Get file","LMS service","Sun May 24 13:01:22 UTC 2026","passed","Sun May 24 13:01:22 UTC 2026","Get entity","Files","",""
"","479","Login with correct email and password","LMS service","Sun May 24 13:01:15 UTC 2026","passed","Sun May 24 13:01:16 UTC 2026","Login","Authentication","",""
"","19","Get courses","LMS service","Sun May 24 13:01:17 UTC 2026","passed","Sun May 24 13:01:17 UTC 2026","Get entities","Courses","",""
"","464","Create user","LMS service","Sun May 24 13:01:23 UTC 2026","passed","Sun May 24 13:01:23 UTC 2026","Create entity","Users","",""
"","13","Get exercises","LMS service","Sun May 24 13:01:21 UTC 2026","passed","Sun May 24 13:01:21 UTC 2026","Get entities","Exercises","",""
"","19","Update exercise","LMS service","Sun May 24 13:01:18 UTC 2026","passed","Sun May 24 13:01:18 UTC 2026","Update entity","Exercises","",""
