"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","338","Update course","LMS service","Sun May 24 12:43:28 UTC 2026","passed","Sun May 24 12:43:28 UTC 2026","Update entity","Courses","",""
"","17","Delete exercise","LMS service","Sun May 24 12:43:32 UTC 2026","passed","Sun May 24 12:43:32 UTC 2026","Delete entity","Exercises","",""
"","303","Create file with empty filename","LMS service","Sun May 24 12:43:34 UTC 2026","passed","Sun May 24 12:43:34 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Sun May 24 12:43:34 UTC 2026","passed","Sun May 24 12:43:34 UTC 2026","Get entity","Files","",""
"","24","Get courses","LMS service","Sun May 24 12:43:28 UTC 2026","passed","Sun May 24 12:43:28 UTC 2026","Get entities","Courses","",""
"","298","Create file with empty directory","LMS service","Sun May 24 12:43:35 UTC 2026","passed","Sun May 24 12:43:35 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Sun May 24 12:43:29 UTC 2026","passed","Sun May 24 12:43:29 UTC 2026","Create entity","Courses","",""
"","614","Create user","LMS service","Sun May 24 12:43:36 UTC 2026","passed","Sun May 24 12:43:36 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Sun May 24 12:43:36 UTC 2026","passed","Sun May 24 12:43:36 UTC 2026","Delete entity","Files","",""
"","621","Login with correct email and password","LMS service","Sun May 24 12:43:27 UTC 2026","passed","Sun May 24 12:43:27 UTC 2026","Login","Authentication","",""
"","21","Create exercise","LMS service","Sun May 24 12:43:30 UTC 2026","passed","Sun May 24 12:43:30 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Sun May 24 12:43:38 UTC 2026","passed","Sun May 24 12:43:38 UTC 2026","Get entity","Users","",""
"","301","Create file","LMS service","Sun May 24 12:43:33 UTC 2026","passed","Sun May 24 12:43:33 UTC 2026","Create entity","Files","",""
"","324","Get exercise","LMS service","Sun May 24 12:43:31 UTC 2026","passed","Sun May 24 12:43:31 UTC 2026","Get entity","Exercises","",""
"","625","Create user","LMS service","Sun May 24 12:43:36 UTC 2026","passed","Sun May 24 12:43:37 UTC 2026","Create entity","Users","",""
"","320","Get exercises","LMS service","Sun May 24 12:43:32 UTC 2026","passed","Sun May 24 12:43:32 UTC 2026","Get entities","Exercises","",""
"","18","Update exercise","LMS service","Sun May 24 12:43:31 UTC 2026","passed","Sun May 24 12:43:31 UTC 2026","Update entity","Exercises","",""
"","298","Get file with incorrect file id","LMS service","Sun May 24 12:43:36 UTC 2026","passed","Sun May 24 12:43:36 UTC 2026","Validate entity","Files","",""
"","625","Create user","LMS service","Sun May 24 12:43:36 UTC 2026","passed","Sun May 24 12:43:37 UTC 2026","Create entity","Users","",""
