"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete exercise","LMS service","Sun May 24 13:43:49 UTC 2026","passed","Sun May 24 13:43:49 UTC 2026","Delete entity","Exercises","",""
"","11","Get user me","LMS service","Sun May 24 13:43:54 UTC 2026","passed","Sun May 24 13:43:54 UTC 2026","Get entity","Users","",""
"","15","Get file","LMS service","Sun May 24 13:43:51 UTC 2026","passed","Sun May 24 13:43:51 UTC 2026","Get entity","Files","",""
"","269","Create file with empty filename","LMS service","Sun May 24 13:43:51 UTC 2026","passed","Sun May 24 13:43:51 UTC 2026","Validate entity","Files","",""
"","29","Get courses","LMS service","Sun May 24 13:43:46 UTC 2026","passed","Sun May 24 13:43:46 UTC 2026","Get entities","Courses","",""
"","547","Login with correct email and password","LMS service","Sun May 24 13:43:44 UTC 2026","passed","Sun May 24 13:43:45 UTC 2026","Login","Authentication","",""
"","258","Create file","LMS service","Sun May 24 13:43:50 UTC 2026","passed","Sun May 24 13:43:50 UTC 2026","Create entity","Files","",""
"","543","Create user","LMS service","Sun May 24 13:43:52 UTC 2026","passed","Sun May 24 13:43:53 UTC 2026","Create entity","Users","",""
"","555","Create user","LMS service","Sun May 24 13:43:53 UTC 2026","passed","Sun May 24 13:43:53 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sun May 24 13:43:46 UTC 2026","passed","Sun May 24 13:43:46 UTC 2026","Create entity","Courses","",""
"","18","Get exercises","LMS service","Sun May 24 13:43:49 UTC 2026","passed","Sun May 24 13:43:49 UTC 2026","Get entities","Exercises","",""
"","298","Update course","LMS service","Sun May 24 13:43:45 UTC 2026","passed","Sun May 24 13:43:45 UTC 2026","Update entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sun May 24 13:43:53 UTC 2026","passed","Sun May 24 13:43:53 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Sun May 24 13:43:52 UTC 2026","passed","Sun May 24 13:43:52 UTC 2026","Delete entity","Files","",""
"","265","Create file with empty directory","LMS service","Sun May 24 13:43:51 UTC 2026","passed","Sun May 24 13:43:52 UTC 2026","Validate entity","Files","",""
"","553","Create user","LMS service","Sun May 24 13:43:53 UTC 2026","passed","Sun May 24 13:43:53 UTC 2026","Create entity","Users","",""
"","286","Update exercise","LMS service","Sun May 24 13:43:48 UTC 2026","passed","Sun May 24 13:43:48 UTC 2026","Update entity","Exercises","",""
"","17","Get exercise","LMS service","Sun May 24 13:43:48 UTC 2026","passed","Sun May 24 13:43:48 UTC 2026","Get entity","Exercises","",""
"","28","Create exercise","LMS service","Sun May 24 13:43:47 UTC 2026","passed","Sun May 24 13:43:47 UTC 2026","Create entity","Exercises","",""
