"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Sun May 24 13:14:07 UTC 2026","passed","Sun May 24 13:14:07 UTC 2026","Get entity","Files","",""
"","19","Get exercise","LMS service","Sun May 24 13:14:05 UTC 2026","passed","Sun May 24 13:14:05 UTC 2026","Get entity","Exercises","",""
"","564","Create user","LMS service","Sun May 24 13:14:10 UTC 2026","passed","Sun May 24 13:14:10 UTC 2026","Create entity","Users","",""
"","543","Create user","LMS service","Sun May 24 13:14:09 UTC 2026","passed","Sun May 24 13:14:10 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sun May 24 13:14:06 UTC 2026","passed","Sun May 24 13:14:06 UTC 2026","Delete entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sun May 24 13:14:09 UTC 2026","passed","Sun May 24 13:14:10 UTC 2026","Validate entity","Files","",""
"","30","Get courses","LMS service","Sun May 24 13:14:03 UTC 2026","passed","Sun May 24 13:14:03 UTC 2026","Get entities","Courses","",""
"","560","Create user","LMS service","Sun May 24 13:14:10 UTC 2026","passed","Sun May 24 13:14:10 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sun May 24 13:14:03 UTC 2026","passed","Sun May 24 13:14:03 UTC 2026","Create entity","Courses","",""
"","21","Delete file","LMS service","Sun May 24 13:14:09 UTC 2026","passed","Sun May 24 13:14:09 UTC 2026","Delete entity","Files","",""
"","290","Update exercise","LMS service","Sun May 24 13:14:04 UTC 2026","passed","Sun May 24 13:14:05 UTC 2026","Update entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Sun May 24 13:14:01 UTC 2026","passed","Sun May 24 13:14:02 UTC 2026","Login","Authentication","",""
"","266","Create file with empty filename","LMS service","Sun May 24 13:14:08 UTC 2026","passed","Sun May 24 13:14:08 UTC 2026","Validate entity","Files","",""
"","27","Create exercise","LMS service","Sun May 24 13:14:04 UTC 2026","passed","Sun May 24 13:14:04 UTC 2026","Create entity","Exercises","",""
"","289","Get exercises","LMS service","Sun May 24 13:14:06 UTC 2026","passed","Sun May 24 13:14:06 UTC 2026","Get entities","Exercises","",""
"","266","Create file with empty directory","LMS service","Sun May 24 13:14:08 UTC 2026","passed","Sun May 24 13:14:09 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Sun May 24 13:14:11 UTC 2026","passed","Sun May 24 13:14:11 UTC 2026","Get entity","Users","",""
"","269","Create file","LMS service","Sun May 24 13:14:07 UTC 2026","passed","Sun May 24 13:14:07 UTC 2026","Create entity","Files","",""
"","302","Update course","LMS service","Sun May 24 13:14:02 UTC 2026","passed","Sun May 24 13:14:02 UTC 2026","Update entity","Courses","",""
