"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","Sun May 17 07:08:25 UTC 2026","passed","Sun May 17 07:08:25 UTC 2026","Delete entity","Files","",""
"","627","Create user","LMS service","Sun May 17 07:08:26 UTC 2026","passed","Sun May 17 07:08:26 UTC 2026","Create entity","Users","",""
"","295","Create file with empty filename","LMS service","Sun May 17 07:08:24 UTC 2026","passed","Sun May 17 07:08:24 UTC 2026","Validate entity","Files","",""
"","319","Login with correct email and password","LMS service","Sun May 17 07:08:16 UTC 2026","passed","Sun May 17 07:08:17 UTC 2026","Login","Authentication","",""
"","21","Delete exercise","LMS service","Sun May 17 07:08:21 UTC 2026","passed","Sun May 17 07:08:22 UTC 2026","Delete entity","Exercises","",""
"","303","Create file","LMS service","Sun May 17 07:08:22 UTC 2026","passed","Sun May 17 07:08:23 UTC 2026","Create entity","Files","",""
"","325","Update exercise","LMS service","Sun May 17 07:08:20 UTC 2026","passed","Sun May 17 07:08:20 UTC 2026","Update entity","Exercises","",""
"","336","Update course","LMS service","Sun May 17 07:08:17 UTC 2026","passed","Sun May 17 07:08:18 UTC 2026","Update entity","Courses","",""
"","21","Get exercise","LMS service","Sun May 17 07:08:21 UTC 2026","passed","Sun May 17 07:08:21 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Sun May 17 07:08:27 UTC 2026","passed","Sun May 17 07:08:27 UTC 2026","Get entity","Users","",""
"","329","Get courses","LMS service","Sun May 17 07:08:18 UTC 2026","passed","Sun May 17 07:08:18 UTC 2026","Get entities","Courses","",""
"","20","Create exercise","LMS service","Sun May 17 07:08:19 UTC 2026","passed","Sun May 17 07:08:19 UTC 2026","Create entity","Exercises","",""
"","608","Create user","LMS service","Sun May 17 07:08:25 UTC 2026","passed","Sun May 17 07:08:26 UTC 2026","Create entity","Users","",""
"","298","Get file with incorrect file id","LMS service","Sun May 17 07:08:25 UTC 2026","passed","Sun May 17 07:08:26 UTC 2026","Validate entity","Files","",""
"","318","Get exercises","LMS service","Sun May 17 07:08:22 UTC 2026","passed","Sun May 17 07:08:22 UTC 2026","Get entities","Exercises","",""
"","27","Create course","LMS service","Sun May 17 07:08:19 UTC 2026","passed","Sun May 17 07:08:19 UTC 2026","Create entity","Courses","",""
"","629","Create user","LMS service","Sun May 17 07:08:26 UTC 2026","passed","Sun May 17 07:08:26 UTC 2026","Create entity","Users","",""
"","299","Create file with empty directory","LMS service","Sun May 17 07:08:24 UTC 2026","passed","Sun May 17 07:08:24 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sun May 17 07:08:23 UTC 2026","passed","Sun May 17 07:08:23 UTC 2026","Get entity","Files","",""
