"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Create file with empty filename","LMS service","Sun May 24 11:48:11 UTC 2026","passed","Sun May 24 11:48:11 UTC 2026","Validate entity","Files","",""
"","38","Create course","LMS service","Sun May 24 11:48:06 UTC 2026","passed","Sun May 24 11:48:06 UTC 2026","Create entity","Courses","",""
"","553","Create user","LMS service","Sun May 24 11:48:12 UTC 2026","passed","Sun May 24 11:48:13 UTC 2026","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","Sun May 24 11:48:12 UTC 2026","passed","Sun May 24 11:48:12 UTC 2026","Validate entity","Files","",""
"","406","Update course","LMS service","Sun May 24 11:48:05 UTC 2026","passed","Sun May 24 11:48:05 UTC 2026","Update entity","Courses","",""
"","21","Delete file","LMS service","Sun May 24 11:48:12 UTC 2026","passed","Sun May 24 11:48:12 UTC 2026","Delete entity","Files","",""
"","19","Create file with empty directory","LMS service","Sun May 24 11:48:11 UTC 2026","passed","Sun May 24 11:48:11 UTC 2026","Validate entity","Files","",""
"","293","Create user","LMS service","Sun May 24 11:48:12 UTC 2026","passed","Sun May 24 11:48:12 UTC 2026","Create entity","Users","",""
"","268","Create file","LMS service","Sun May 24 11:48:10 UTC 2026","passed","Sun May 24 11:48:10 UTC 2026","Create entity","Files","",""
"","24","Create exercise","LMS service","Sun May 24 11:48:06 UTC 2026","passed","Sun May 24 11:48:06 UTC 2026","Create entity","Exercises","",""
"","22","Get exercises","LMS service","Sun May 24 11:48:09 UTC 2026","passed","Sun May 24 11:48:09 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sun May 24 11:48:14 UTC 2026","passed","Sun May 24 11:48:14 UTC 2026","Get entity","Users","",""
"","27","Get courses","LMS service","Sun May 24 11:48:05 UTC 2026","passed","Sun May 24 11:48:05 UTC 2026","Get entities","Courses","",""
"","26","Update exercise","LMS service","Sun May 24 11:48:07 UTC 2026","passed","Sun May 24 11:48:07 UTC 2026","Update entity","Exercises","",""
"","32","Delete exercise","LMS service","Sun May 24 11:48:09 UTC 2026","passed","Sun May 24 11:48:09 UTC 2026","Delete entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Sun May 24 11:48:04 UTC 2026","passed","Sun May 24 11:48:04 UTC 2026","Login","Authentication","",""
"","19","Get exercise","LMS service","Sun May 24 11:48:07 UTC 2026","passed","Sun May 24 11:48:07 UTC 2026","Get entity","Exercises","",""
"","527","Create user","LMS service","Sun May 24 11:48:12 UTC 2026","passed","Sun May 24 11:48:13 UTC 2026","Create entity","Users","",""
"","19","Get file","LMS service","Sun May 24 11:48:10 UTC 2026","passed","Sun May 24 11:48:10 UTC 2026","Get entity","Files","",""
